Timestamp for sample frequency every 60 min min,Temperature_Fahrenheit,Relative_Humidity
2025-05-13 12:46:00,71.06,88.6
2025-05-13 13:46:00,64.22,82.9
2025-05-13 14:46:00,63.86,84.3
2025-05-13 15:46:00,64.04,82.9
2025-05-13 16:46:00,64.22,83
2025-05-13 17:46:00,64.22,83.4
2025-05-13 18:46:00,64.22,83.2
2025-05-13 19:46:00,64.4,83.2
2025-05-13 20:46:00,64.22,83.5
2025-05-13 21:46:00,64.4,83.8
2025-05-13 22:46:00,64.4,84.2
2025-05-13 23:46:00,64.4,84.5
2025-05-14 00:46:00,64.4,84.5
2025-05-14 01:46:00,64.22,84.4
2025-05-14 02:46:00,64.22,84.6
2025-05-14 03:46:00,64.22,84.7
2025-05-14 04:46:00,64.22,84.8
2025-05-14 05:46:00,64.22,84.9
2025-05-14 06:46:00,64.22,84.9
2025-05-14 07:46:00,64.22,85
2025-05-14 08:46:00,64.22,85.7
2025-05-14 09:46:00,64.04,85
2025-05-14 10:46:00,64.04,84.8
2025-05-14 11:46:00,64.04,84.7
2025-05-14 12:46:00,63.86,85.2
2025-05-14 13:46:00,64.22,84.2
2025-05-14 14:46:00,64.22,85
2025-05-14 15:46:00,64.22,84.8
2025-05-14 16:46:00,64.58,84.7
2025-05-14 17:46:00,64.4,85
2025-05-14 18:46:00,64.76,84.9
2025-05-14 19:46:00,64.76,84.7
2025-05-14 20:46:00,64.76,85
2025-05-14 21:46:00,64.76,85.6
2025-05-14 22:46:00,64.94,86.2
2025-05-14 23:46:00,64.94,86.8
2025-05-15 00:46:00,65.12,87.1
2025-05-15 01:46:00,65.12,87.4
2025-05-15 02:46:00,64.94,88.1
2025-05-15 03:46:00,64.76,88.1
2025-05-15 04:46:00,64.76,87.5
2025-05-15 05:46:00,64.58,87.1
2025-05-15 06:46:00,64.58,87.1
2025-05-15 07:46:00,64.4,86.9
2025-05-15 08:46:00,64.58,87.4
2025-05-15 09:46:00,64.94,87.3
2025-05-15 10:46:00,65.12,86.8
2025-05-15 11:46:00,65.3,86.8
2025-05-15 12:46:00,65.84,85.7
2025-05-15 13:46:00,65.84,86.5
2025-05-15 14:46:00,65.84,85.8
2025-05-15 15:46:00,66.02,85.4
2025-05-15 16:46:00,66.38,85
2025-05-15 17:46:00,66.2,85.1
2025-05-15 18:46:00,66.92,87.6
2025-05-15 19:46:00,66.74,87.7
2025-05-15 20:46:00,66.2,84.7
2025-05-15 21:46:00,66.2,85.1
2025-05-15 22:46:00,66.2,85
2025-05-15 23:46:00,66.02,84.9
2025-05-16 00:46:00,66.2,86.4
2025-05-16 01:46:00,66.2,86.7
2025-05-16 02:46:00,66.02,86.6
2025-05-16 03:46:00,66.2,87.1
2025-05-16 04:46:00,66.02,87.5
2025-05-16 05:46:00,66.02,87.4
2025-05-16 06:46:00,66.2,87.3
2025-05-16 07:46:00,65.84,88
2025-05-16 08:46:00,66.38,88
2025-05-16 09:46:00,66.92,89.1
2025-05-16 10:46:00,67.1,88.9
2025-05-16 11:46:00,66.56,88.3
2025-05-16 12:46:00,66.74,88.1
2025-05-16 17:46:00,66.02,4.18
2025-05-16 18:46:00,66.02,0.44
2025-05-17 06:46:00,65.41,5.12
2025-05-17 13:46:00,66.74,81.2
2025-05-17 14:46:00,66.38,81.2
2025-05-17 15:46:00,67.1,75.9
2025-05-17 16:46:00,66.92,74.7
2025-05-17 17:46:00,66.74,74.4
2025-05-17 18:46:00,66.56,76.5
2025-05-17 19:46:00,66.74,76.3
2025-05-17 20:46:00,66.56,76.3
2025-05-17 21:46:00,66.38,77.9
2025-05-17 22:46:00,66.38,77.9
2025-05-17 23:46:00,66.38,77.3
2025-05-18 00:46:00,66.06,77.4
2025-05-18 01:46:00,66.38,77
2025-05-18 02:46:00,65.98,74.24
2025-05-18 03:46:00,66.02,77.4
2025-05-18 10:46:00,65.84,79.2
2025-05-18 12:46:00,66.02,79.4
2025-05-18 13:46:00,66.2,78.1
2025-05-18 14:46:00,66.02,79
2025-05-18 16:46:00,66.38,79.6
2025-05-18 17:46:00,66.2,80.3
2025-05-18 18:46:00,66.38,77.8
2025-05-18 19:46:00,66.38,79.8
2025-05-18 20:46:00,66.38,80.3
2025-05-18 21:46:00,66.38,79.4
2025-05-18 22:46:00,66.38,78.8
2025-05-18 23:46:00,66.38,79.3
2025-05-19 00:46:00,66.2,79.7
2025-05-19 01:46:00,66.02,81.8
2025-05-19 02:46:00,66.02,82.1
2025-05-19 03:46:00,65.84,82.6
2025-05-19 04:46:00,65.66,82.7
2025-05-19 05:46:00,65.66,82.8
2025-05-19 06:46:00,65.48,82.9
2025-05-19 07:46:00,65.3,83
2025-05-19 08:46:00,65.48,83.4
